Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0xf977814e90da44bfa03b6295a0616a897441acec","Binance 8","5,609,200,260.100697","10.7872%","$5,607,158,511.21"
"2","0xcee284f754e854890e311e3280b767f80797180d","Arbitrum One: L1 Arb - Custom Gateway","2,393,995,764.98854","4.6040%","$2,393,124,350.53"
"3","0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503","Binance: Binance-Peg Tokens","1,820,000,115.495224","3.5001%","$1,819,337,635.45"
"4","0xa7a93fd0a276fc1c0197a5b5623ed117786eed06","Bybit: Hot Wallet 2","1,222,605,553.922211","2.3512%","$1,222,160,525.50"
"5","0x5754284f345afc66a98fbb0a0afe71e0f007b949","Tether: Treasury","922,915,646.338037","1.7749%","$922,579,705.04"
"6","0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","Polygon (Matic): ERC20 Bridge","901,924,771.68523","1.7345%","$901,596,471.07"
"7","0xee136c0389733849dd710ac7104e92c6bf497574"," MEXC 4","820,000,420","1.5770%","$819,701,939.85"
"8","0x99c9fc46f92e8a1c0dec1b1747d010903e884be1","Optimism: Gateway","806,068,253.412684","1.5502%","$805,774,844.57"
"9","0xa7c0d36c4698981fab42a7d8c783674c6fe2592d","Binance 74","600,000,000","1.1539%","$599,781,600.00"
"10","0xd6216fc19db775df9774a6e33526131da7d19a2c","KuCoin 6","558,000,000","1.0731%","$557,796,888.00"
"11","0x5a52e96bacdabb82fd05763e25335261b270efcb","Binance 28","543,262,903","1.0448%","$543,065,155.30"
"12","0xc5451b523d5fffe1351337a221688a62806ad91a","OKX 10","500,000,101.01","0.9616%","$499,818,100.97"
"13","0x69a722f0b5da3af02b4a205d6f0c285f4ed8f396","OKX 12","500,000,011","0.9616%","$499,818,011.00"
"14","0x42436286a9c8d63aafc2eebbca193064d68068f2","OKX 11","500,000,001","0.9616%","$499,818,001.00"
"15","0x461249076b88189f8ac9418de28b365859e46bfd","OKX 9","500,000,001","0.9616%","$499,818,001.00"
"16","0xcba38020cd7b6f51df6afaf507685add148f6ab6","OKX 8","500,000,001","0.9616%","$499,818,001.00"
"17","0x835678a611b28684005a5e2233695fb6cbbb0007","Binance 70","456,737,150","0.8784%","$456,570,897.68"
"18","0xf59869753f41db720127ceb8dbb8afaf89030de4","OKX 15","400,000,020.1688","0.7693%","$399,854,420.16"
"19","0x65a0947ba5175359bb457d3b34491edf4cbf7997","OKX 16","400,000,001.01","0.7693%","$399,854,401.01"
"20","0x4d19c0a5357bc48be0017095d3c871d9afc3f21d","OKX 17","400,000,001","0.7693%","$399,854,401.00"
"21","0x5c52cc7c96bde8594e5b77d5b76d042cb5fae5f2","OKX 18","400,000,001","0.7693%","$399,854,401.00"
"22","0xe9172daf64b05b26eb18f07ac8d6d723acb48f99","OKX 19","400,000,001","0.7693%","$399,854,401.00"
"23","0x5041ed759dd4afc3a72b8192c143f72f4724081a","OKX 7","377,135,711.221303","0.7253%","$376,998,433.82"
"24","0xee5b5b923ffce93a870b3104b7ca09c3db80047a","Bybit: Hot Wallet 4","306,139,930.422005","0.5887%","$306,028,495.49"
"25","0x6fb624b48d9299674022a23d92515e76ba880113","OKX 14","300,000,026.792705","0.5769%","$299,890,826.78"
"26","0xc708a1c712ba26dc618f972ad7a187f76c8596fd","OKX 13","300,000,001","0.5769%","$299,890,801.00"
"27","0xf89d7b9c864f589bbf53a82105107622b35eaa40","Bybit: Hot Wallet","272,671,167.569581","0.5244%","$272,571,915.26"
"28","0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40","Kraken 7","213,589,923.512017","0.4108%","$213,512,176.78"
"29","0x56eddb7aa87536c09ccc2793473599fd21a8b17f","Binance 17","171,938,749.902076","0.3307%","$171,876,164.20"
